version,ID,pair,gt_mm,path,status,measured_median_mm,bias_mm
v1-old,W01,BSCCF4-BS9336,670.0,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W01_wand3_W01_BS9336_BS955A_BSCCF4_120s_20260528_140438,missing_peer,,
v1-old,W01,BSCCF4-BS955A,659.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W01_wand3_W01_BS9336_BS955A_BSCCF4_120s_20260528_140438,ok,761.6613329311017,101.96133293110165
v1-old,W01,BS9336-BS955A,708.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W01_wand3_W01_BS9336_BS955A_BSCCF4_120s_20260528_140438,missing_peer,,
v1-old,W02,BSCCF4-BS9336,670.0,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W02_wand3_W02_BS9336_BS955A_BSCCF4_120s_20260528_141701,missing_peer,,
v1-old,W02,BSCCF4-BS955A,659.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W02_wand3_W02_BS9336_BS955A_BSCCF4_120s_20260528_141701,missing_peer,,
v1-old,W02,BS9336-BS955A,708.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W02_wand3_W02_BS9336_BS955A_BSCCF4_120s_20260528_141701,missing_peer,,
v2,W01,BSCCF4-BS9336,670.0,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W01_wand3_W01_BS9336_BS955A_BSCCF4_120s_20260528_140438,missing_peer,,
v2,W01,BSCCF4-BS955A,659.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W01_wand3_W01_BS9336_BS955A_BSCCF4_120s_20260528_140438,ok,678.0012877981098,18.301287798109797
v2,W01,BS9336-BS955A,708.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W01_wand3_W01_BS9336_BS955A_BSCCF4_120s_20260528_140438,missing_peer,,
v2,W02,BSCCF4-BS9336,670.0,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W02_wand3_W02_BS9336_BS955A_BSCCF4_120s_20260528_141701,missing_peer,,
v2,W02,BSCCF4-BS955A,659.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W02_wand3_W02_BS9336_BS955A_BSCCF4_120s_20260528_141701,missing_peer,,
v2,W02,BS9336-BS955A,708.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W02_wand3_W02_BS9336_BS955A_BSCCF4_120s_20260528_141701,missing_peer,,
v3-lite,W01,BSCCF4-BS9336,670.0,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W01_wand3_W01_BS9336_BS955A_BSCCF4_120s_20260528_140438,missing_peer,,
v3-lite,W01,BSCCF4-BS955A,659.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W01_wand3_W01_BS9336_BS955A_BSCCF4_120s_20260528_140438,ok,677.9823383015512,18.282338301551135
v3-lite,W01,BS9336-BS955A,708.7,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W01_wand3_W01_BS9336_BS955A_BSCCF4_120s_20260528_140438,missing_peer,,
v3-lite,W02,BSCCF4-BS9336,670.0,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Wand_Test/W02_wand3_W02_BS9336_BS955A_BSCCF4_120s_20260528_141701,missing_peer,,
