version,location,height,facing,n,D3_median,D3_p75,D3_p95,D3_max
v1-old,center,high,ABEF,1,67.72039783960959,67.72039783960959,67.72039783960959,67.72039783960959
v1-old,center,high,ADHE,1,70.68324543498444,70.68324543498444,70.68324543498444,70.68324543498444
v1-old,center,high,BCGF,1,43.59809866737748,43.59809866737748,43.59809866737748,43.59809866737748
v1-old,center,high,CDHG,1,86.47892539613952,86.47892539613952,86.47892539613952,86.47892539613952
v1-old,center,low,ABEF,1,66.86180977874919,66.86180977874919,66.86180977874919,66.86180977874919
v1-old,center,low,ADHE,1,96.08047052277041,96.08047052277041,96.08047052277041,96.08047052277041
v1-old,center,low,BCGF,1,43.48398329206861,43.48398329206861,43.48398329206861,43.48398329206861
v1-old,center,low,CDHG,1,108.52693852126994,108.52693852126994,108.52693852126994,108.52693852126994
v1-old,center,mid,ABEF,1,84.04164232000237,84.04164232000237,84.04164232000237,84.04164232000237
v1-old,center,mid,ADHE,1,42.82880852455013,42.82880852455013,42.82880852455013,42.82880852455013
v1-old,center,mid,BCGF,1,38.04385262914419,38.04385262914419,38.04385262914419,38.04385262914419
v1-old,center,mid,CDHG,1,56.99314743330027,56.99314743330027,56.99314743330027,56.99314743330027
v1-old,edge,high,ABEF,1,70.03897872745203,70.03897872745203,70.03897872745203,70.03897872745203
v1-old,edge,high,ADHE,1,43.37847102683837,43.37847102683837,43.37847102683837,43.37847102683837
v1-old,edge,high,BCGF,1,57.45250989061379,57.45250989061379,57.45250989061379,57.45250989061379
v1-old,edge,high,CDHG,1,67.77861650708324,67.77861650708324,67.77861650708324,67.77861650708324
v1-old,edge,low,ABEF,1,64.1156688263483,64.1156688263483,64.1156688263483,64.1156688263483
v1-old,edge,low,ADHE,1,50.906745514302024,50.906745514302024,50.906745514302024,50.906745514302024
v1-old,edge,low,BCGF,1,59.661287601204776,59.661287601204776,59.661287601204776,59.661287601204776
v1-old,edge,low,CDHG,1,76.5703065038056,76.5703065038056,76.5703065038056,76.5703065038056
v1-old,edge,mid,ABEF,1,61.701300455658355,61.701300455658355,61.701300455658355,61.701300455658355
v1-old,edge,mid,ADHE,1,42.88047173334598,42.88047173334598,42.88047173334598,42.88047173334598
v1-old,edge,mid,BCGF,1,58.052131029232164,58.052131029232164,58.052131029232164,58.052131029232164
v1-old,edge,mid,CDHG,1,83.05150319323587,83.05150319323587,83.05150319323587,83.05150319323587
