eval_set,pair,n_ab,n_ba,med_ab,med_ba,mad_ab,mad_ba,asymmetry,median_all,mad_all
solve,A-B,1000,1000,2898.0,2892.0,22.238999999999997,23.7216,6.0,2895.0,22.238999999999997
solve,A-C,1000,1000,3713.0,3722.0,29.651999999999997,29.651999999999997,9.0,3718.0,29.651999999999997
solve,A-D,1000,1000,2427.0,2431.0,14.825999999999999,16.3086,4.0,2429.0,14.825999999999999
solve,A-E,1000,1000,1546.0,1554.0,27.428099999999997,35.5824,8.0,1550.0,31.1346
solve,A-F,1000,1000,3325.0,3319.0,22.9803,22.238999999999997,6.0,3322.0,23.7216
solve,A-G,1000,1000,4017.0,4023.5,31.1346,27.428099999999997,6.5,4020.5,28.9107
solve,A-H,1000,1000,2679.0,2696.0,25.2042,25.2042,17.0,2688.0,28.1694
solve,B-C,1000,1000,2402.0,2411.0,22.238999999999997,19.273799999999998,9.0,2407.0,20.7564
solve,B-D,1000,1000,3666.5,3673.0,27.428099999999997,26.686799999999998,6.5,3670.0,26.686799999999998
solve,B-E,1000,1000,3127.0,3143.0,23.7216,25.2042,16.0,3135.0,25.2042
solve,B-F,1000,1000,1621.0,1618.0,19.273799999999998,22.238999999999997,3.0,1620.0,20.7564
solve,B-G,1000,1000,2743.0,2748.0,17.7912,22.238999999999997,5.0,2745.0,20.7564
solve,B-H,1000,1000,3896.0,3905.0,31.1346,26.686799999999998,9.0,3902.0,29.651999999999997
solve,C-D,1000,1000,2892.0,2883.5,23.7216,21.4977,8.5,2887.0,23.7216
solve,C-E,1000,1000,3893.0,3878.0,25.2042,26.686799999999998,15.0,3885.0,25.2042
solve,C-F,1000,1000,2681.0,2663.0,16.3086,16.3086,18.0,2672.0,19.273799999999998
solve,C-G,1000,1000,1621.5,1615.0,28.9107,26.686799999999998,6.5,1618.0,26.686799999999998
solve,C-H,1000,1000,3342.0,3351.0,25.2042,25.2042,9.0,3347.0,25.2042
solve,D-E,1000,1000,2791.0,2794.0,35.5824,38.547599999999996,3.0,2793.0,37.065
solve,D-F,1000,1000,3862.0,3840.0,23.7216,19.273799999999998,22.0,3850.0,23.7216
solve,D-G,1000,1000,3164.0,3157.0,20.7564,19.273799999999998,7.0,3160.0,20.7564
solve,D-H,1000,1000,1662.0,1657.0,32.6172,31.1346,5.0,1659.0,32.6172
solve,E-F,1000,1000,2772.0,2752.0,20.7564,17.7912,20.0,2762.0,22.238999999999997
solve,E-G,1000,1000,3714.0,3709.0,16.3086,17.7912,5.0,3711.0,17.7912
solve,E-H,1000,1000,2337.0,2330.0,25.2042,19.273799999999998,7.0,2333.0,22.238999999999997
solve,F-G,1000,1000,2372.0,2376.0,14.825999999999999,17.7912,4.0,2374.0,16.3086
solve,F-H,1000,1000,3654.0,3663.0,29.651999999999997,23.7216,9.0,3660.0,26.686799999999998
solve,G-H,1000,1000,2880.0,2880.0,22.238999999999997,22.238999999999997,0.0,2880.0,22.238999999999997
