version,delay_min,delay_max,delay_l2,n_near_bounds_55mm,tag_delay_mm
v1-old,0.0,0.0,0.0,0,0.0
v2,0.0,0.0,0.0,0,0.0
v3-lite,0.0,0.0,0.0,0,0.0
v3-full,-5.81207993397561,96.56447416541096,144.4164035648517,3,0.0
v4-io,0.0,59.999999999999986,109.95498880807628,2,0.0
