version,capture_pairs,deltaR_error_mean_mm,deltaR_error_rms_mm,abs_deltaR_error_median_mm,abs_deltaR_error_p95_mm,inner_outer_center_sep_median_mm,inner_outer_center_sep_p95_mm,turn_center_rms_median_mm,turn_center_rms_p95_mm,circle_thickness_rms_median_mm_diagnostic,circle_thickness_rms_p95_mm_diagnostic
v1-old,17,-40.3471806426172,42.89735397171129,40.25055816510326,59.87813499997549,48.36926698847534,91.4011353195503,18.08947442085983,33.31152961538773,92.71473944618923,145.1240315890533
v2,17,-26.425567638121574,28.801410333821412,29.018392271701998,39.849803674401095,40.09668356794035,60.86380081067706,14.98636835817704,25.962224209949127,82.6878352668987,124.68744539152262
v3-full,17,-33.52750592990145,36.13499248953618,34.990706200012596,52.251308319402,38.35690414003993,73.43849979306006,17.119536007953673,30.094064583998765,85.53400236369637,143.27035166204087
v3-lite,17,-26.471407457079955,28.848852758641982,29.06425989392301,39.93802308727868,40.022595911688384,60.94779152164299,15.118652697719792,25.950374033913178,82.72661249627856,124.75068353175305
v4-io,17,-30.615928283808376,32.42899743202175,33.32853842853672,42.58386745299794,36.09080665560083,69.50934520242707,14.314491940159968,25.614268055502553,80.02216102837389,129.72326987621528
