L,P,I,T,stress_count,p50_mean,p95_mean,p95_worst,p95_std_across_stress,rmse_mean,horiz_xz_p95_mean,vertical_y_p95_mean,sameP_delta_p95_mean,sameP_improved_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,robust_score,robust_rank
L20,P4,I3,T2,5,72.99313690647064,124.06514885116776,131.88056620467336,5.0267874250174795,81.21655657744279,86.11993393773197,101.58030538774263,14.821087091859715,1.0,107.73698914430994,20.075719212179024,114.48572053556038,388.06782074246433,L20 Xsens MTi-3,X_A0_U4_P4_L20_I3_T2,183.69093333017258,1
L20,P4,I4,T2,5,72.77005416321268,124.11701697778594,132.2587843224781,5.296382157231709,80.8307541772629,85.45490482234273,97.54540917989796,14.769218965241535,0.96,107.68512101769177,19.49344118630268,114.71040660875215,391.8726069715775,L20 Xsens MTi-3,X_A0_U4_P4_L20_I4_T2,183.9218477406557,2
L20,P4,I6,T2,5,73.2822170451747,123.28494346232432,136.6176997146094,9.46602755945809,80.92102514517578,85.7975416616166,98.0049295744039,15.601292480703155,0.9199999999999999,108.51719453315339,18.300872433258355,112.57733431162187,385.7360599942666,L20 Xsens MTi-3,X_A0_U4_P4_L20_I6_T2,184.08741538900512,3
L20,P4,I5,T2,5,74.12584872151294,123.1743411392583,137.70074487246467,9.142300283236763,81.6957756607402,86.97494622843983,94.66724592579224,15.711894803769184,0.96,108.62779685621942,17.302353758217375,112.35180082787363,329.5955139622097,L20 Xsens MTi-3,X_A0_U4_P4_L20_I5_T2,184.2943982678597,4
L20,P4,I5,T4,5,74.42204675434253,128.36976008489754,129.4367304524901,0.7650036699649624,82.3810840897784,87.71226465475979,104.10884791344111,10.516475858129962,1.0,103.4323779105802,22.750998639660324,104.18123507631222,409.29903825241155,L20 Xsens MTi-3,X_A0_U4_P4_L20_I5_T4,186.6706820401834,5
L20,P4,I8,T2,5,73.8315109144206,125.57562613895252,136.14133500621418,8.054186530842742,81.99199168142766,87.55803567103119,97.97673863251907,13.310609804074966,0.9199999999999999,106.2265118565252,18.72802671200936,116.28728315420457,386.2310318467221,L20 Xsens MTi-3,X_A0_U4_P4_L20_I8_T2,187.34053341323943,6
L16,P4,I6,T4,5,74.63970048014316,129.07335862808893,129.4711191008996,0.3689312313115173,82.33355559761792,88.98029451693114,104.66234322462226,9.812877314938552,1.0,102.72877936738878,23.045590478956054,107.62905722522328,410.815186041512,L16 ICM-45686,X_A0_U4_P4_L16_I6_T4,188.07938956845263,7
L16,P4,I5,T4,5,74.58751277514259,129.10780866303128,131.75750715449345,1.6820377775645372,82.27004196492686,87.85884263665298,103.87725700449978,9.778427279996214,1.0,102.69432933244646,22.83468166587299,107.17971061603323,417.077787931856,L16 ICM-45686,X_A0_U4_P4_L16_I5_T4,188.8552859395099,8
L20,P4,I6,T4,5,74.08454318523565,129.98825915559877,133.23222153647293,2.0190098326760078,82.38884341307573,87.78629741937917,104.683524668111,8.89797678742874,1.0,101.81387883987898,22.977904679437202,104.55995800620762,422.194044339238,L20 Xsens MTi-3,X_A0_U4_P4_L20_I6_T4,190.07903619743826,9
L16,P4,I3,T2,5,74.29225596832325,127.05225087105453,137.63458547138958,7.02712006943297,82.7353609758997,88.46220368602226,103.69238181209758,11.833985071972954,0.9199999999999999,104.74988712442318,20.42608709116089,119.25160054019102,367.1500376830507,L16 ICM-45686,X_A0_U4_P4_L16_I3_T2,190.15359959907627,10
L20,P3,I5,T2,5,81.40462854541072,135.31120874398403,151.45223677133725,10.860319243563087,88.87769360308724,105.37530548816683,98.93832661096955,64.9654202601693,1.0,96.49092925149371,38.47023389581972,121.43521168885016,281.00550066117637,L20 Xsens MTi-3,X_A0_U4_P3_L20_I5_T2,190.29341830223728,11
L20,P4,I5,T3,5,74.78223379916969,130.5562784015047,131.59104376392088,0.6278646167836149,82.84981558960581,88.37753293560968,104.3683452249835,8.32995754152277,1.0,101.245859593973,23.10572608808861,105.4901322803391,412.2241142587044,L20 Xsens MTi-3,X_A0_U4_P4_L20_I5_T3,190.3541741755472,12
L16,P4,I5,T2,5,75.46291719454481,126.25422617701778,142.55091089837214,11.829840912871775,82.95170061701707,90.92498584276852,98.2083157607278,12.632009766009691,0.8400000000000001,105.54791181845992,17.710771079146234,117.20824067509038,352.60814284342746,L16 ICM-45686,X_A0_U4_P4_L16_I5_T2,190.57027865120915,13
