stress_id,L,P,I,T,n,p50_mean,p95_mean,p95_std,rmse_mean,horiz_xz_p95_mean,vertical_y_p95_mean,sameP_delta_p95_mean,sameP_improved_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,stress_rank
ST0_nominal,L16,P4,I5,T2,5,68.36267037975645,112.31625370956513,5.0745308529920425,75.28368496445468,79.073808703922,91.14516005780168,26.569982233462373,1.0,119.4858842859126,16.893753714556375,111.67089179810773,374.5186840495828,L16 ICM-45686,X_A0_U4_P4_L16_I5_T2,1
ST0_nominal,L20,P4,I6,T2,5,70.7123254379507,116.20538064297594,2.702498241959501,77.5012062338249,79.54938620216066,94.97236066024942,22.680855300051558,1.0,115.5967573525018,17.559995726902873,106.55177182170921,375.101574758614,L20 Xsens MTi-3,X_A0_U4_P4_L20_I6_T2,2
ST0_nominal,L2,P4,I3,T4,5,75.06127467760112,130.06771594659895,4.474293039925816,82.71086609960687,92.29612994872068,106.3066952139485,8.818519996428538,1.0,101.73442204887877,23.561155763194478,115.45414233632012,422.13343539680227,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I3_T4,36
ST1_vibration_3x,L20,P4,I6,T2,5,68.54990307696258,113.42636783028907,6.11772817005548,75.45338218648993,81.16065655718357,93.34719598107702,25.459868112738423,1.0,118.37577016518867,17.772699432905547,108.67144550534697,367.6649593472543,L20 Xsens MTi-3,X_A0_U4_P4_L20_I6_T2,1
ST1_vibration_3x,L16,P4,I5,T2,5,70.91191779906629,117.42366478203783,2.3800198351175066,78.44573077745564,81.32734992803408,95.17979971466886,21.462571160989658,1.0,114.37847321343989,16.989700660771554,111.25349654243045,325.64266300324147,L16 ICM-45686,X_A0_U4_P4_L16_I5_T2,3
ST1_vibration_3x,L2,P4,I5,T4,5,76.28229140543743,131.95678889176384,3.3044148009715952,85.76015182258514,88.7967325293682,109.1250168562315,6.929447051263639,1.0,99.84534910371387,23.295146444399016,110.59617354902039,368.50752279637015,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I5_T4,47
ST2_bias_rw_2x,L20,P4,I3,T2,5,72.58298425720537,125.34846592601869,5.003681310926088,81.05197660403549,91.28708036845065,102.01030261164078,13.537770017008802,1.0,106.45367206945903,20.275327644384355,116.3219779981011,372.0716778548854,L20 Xsens MTi-3,X_A0_U4_P4_L20_I3_T2,1
ST2_bias_rw_2x,L16,P4,I6,T4,5,75.7358544973215,128.6922971684691,1.916851689986517,83.19211595082993,92.41481903227076,106.29912554291369,10.193938774558372,1.0,103.10984082700861,23.094411012362475,112.16789215370913,419.65451123786727,L16 ICM-45686,X_A0_U4_P4_L16_I6_T4,5
ST2_bias_rw_2x,L2,P4,I8,T3,5,75.4253563118587,132.51066878795487,2.717755954815824,85.01762998980115,95.72175043381714,108.70983763123192,6.375567155072622,1.0,99.29146920752285,23.71958026357545,117.83171717257862,380.5841687606538,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I8_T3,26
ST3_extrinsic_4x,L20,P4,I4,T2,5,71.75543868479015,121.08975084464421,6.768619164359529,78.5502660192532,84.28178096663893,96.44562776474713,17.796485098383286,1.0,110.71238715083352,19.078311147301967,113.1538938083373,405.9448129705107,L20 Xsens MTi-3,X_A0_U4_P4_L20_I4_T2,1
ST3_extrinsic_4x,L16,P4,I3,T2,5,72.81371692497228,122.37875694529062,3.2385840526426515,80.73930220026445,85.97811629775786,100.88071576631174,16.507478997736865,1.0,109.42338105018709,20.028501591081202,116.48583942913294,370.8453873553643,L16 ICM-45686,X_A0_U4_P4_L16_I3_T2,4
ST3_extrinsic_4x,L2,P4,I1,T4,5,76.46054037625018,132.6613504362228,3.0330844430392063,85.27020009091561,91.97292826195931,110.51656548122415,6.224885506804691,1.0,99.14078755925493,23.67906332245594,115.66738576418497,386.7752583376305,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I1_T4,44
ST4_harsh_combo,L20,P4,I5,T4,5,76.4559712387165,129.4367304524901,3.1582824185817975,83.62565479692356,91.03181148554754,106.793570684853,9.449505490537373,1.0,102.36540754298761,23.08782101785108,112.7017156874947,372.29756045391696,L20 Xsens MTi-3,X_A0_U4_P4_L20_I5_T4,1
ST4_harsh_combo,L16,P4,I6,T4,5,75.4704859464975,129.46056191012536,4.452322992609376,83.60092108108692,91.55181226438735,105.3148333130778,9.425674032902108,1.0,102.34157608535234,23.329006915944962,114.53115530628858,392.2641174013983,L16 ICM-45686,X_A0_U4_P4_L16_I6_T4,2
ST4_harsh_combo,L2,P4,I5,T3,5,77.66800116319087,135.5314437405981,0.6846887430534332,86.80366077648567,97.4556209238481,109.29379394213652,3.354792202429394,1.0,96.27069425487963,23.722041443923576,118.15946298338854,381.2893937772368,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I5_T3,37
