host_elapsed_s,host_epoch_s,ver,listener_id,near_anchor_id,accepted_polls,poll_seq,tag_id,poll_mask,rx_ts_lo32,carrier_integrator,fp_index,fp1,fp2,fp3,cir_pwr,rxpacc,acc_len
59.691555,1784055097.973872,1,255,255,141940,29,2,0xff,1392613486,-3335,47730,7033,7153,4548,1835,117,4064
60.358156,1784055098.640473,1,255,255,141950,19,4,0xff,1038055692,-8370,47904,7412,7409,6469,1907,124,4064
61.091773,1784055099.374089,1,255,255,141960,40,2,0xff,670844622,-3158,47826,7204,7027,6253,1926,120,4064
61.758077,1784055100.040394,1,255,255,141970,31,4,0xff,283250346,-8271,47806,7186,6846,3668,1781,119,4064
62.457943,1784055100.740260,1,255,255,141980,37,4,0xff,2064043268,-8342,47896,7654,7656,7067,1948,124,4064
63.191311,1784055101.473628,1,255,255,141990,59,2,0xff,1682117788,-2975,47776,7404,7281,5948,1996,123,4064
63.957558,1784055102.239875,1,255,255,142000,46,4,0xff,3396822276,-8216,47896,7298,7285,6685,1820,119,4064
64.758214,1784055103.040530,1,255,255,142010,53,4,0xff,3015012562,-8300,47838,7326,7321,6581,1896,124,4064
65.491564,1784055103.773880,1,255,255,142020,76,2,0xff,2631410725,-3015,47657,6921,7474,5458,1938,122,4064
66.223352,1784055104.505669,1,255,255,142030,212,3,0xff,2141587729,-6498,47893,7234,7218,6877,1719,117,4064
66.857802,1784055105.140118,1,255,255,142040,70,4,0xff,4023799889,-8237,47709,7447,7457,6744,1847,119,4064
67.557450,1784055105.839767,1,255,255,142050,75,4,0xff,1487999529,-8194,47685,7001,7409,6995,1891,122,4064
68.190662,1784055106.472979,1,255,255,142060,100,2,0xff,3291229896,-2916,47820,7192,6922,6603,1925,120,4064
68.923391,1784055107.205708,1,255,255,142070,233,3,0xff,2865024791,-6358,47907,7294,7306,6116,1979,123,4064
69.625896,1784055107.908212,1,255,255,142080,238,3,0xff,354611856,-6429,47780,7030,7026,5716,1763,119,4064
70.291318,1784055108.573635,1,255,255,142090,115,2,0xff,79292020,-2872,47736,6999,6752,3954,1649,117,4064
71.023203,1784055109.305519,1,255,255,142100,250,3,0xff,3892351106,-6311,47750,7299,7288,7039,1861,123,4064
71.657058,1784055109.939375,1,255,255,142110,109,4,0xff,1439752632,-8100,48076,6921,7271,6836,1701,119,4064
72.356999,1784055110.639315,1,255,255,142120,116,4,0xff,3216431060,-8072,47584,7495,7501,6726,1899,120,4064
