host_elapsed_s,host_epoch_s,ver,accepted_polls,acc_len
59.991479,1784055098.273796,1,141940,4064
60.658175,1784055098.940491,1,141950,4064
61.391963,1784055099.674280,1,141960,4064
62.057985,1784055100.340301,1,141970,4064
62.757891,1784055101.040208,1,141980,4064
63.491490,1784055101.773807,1,141990,4064
64.257826,1784055102.540143,1,142000,4064
65.058374,1784055103.340690,1,142010,4064
65.791865,1784055104.074182,1,142020,4064
66.523481,1784055104.805797,1,142030,4064
67.157772,1784055105.440089,1,142040,4064
67.857426,1784055106.139743,1,142050,4064
68.490741,1784055106.773058,1,142060,4064
69.223408,1784055107.505725,1,142070,4064
69.923517,1784055108.205834,1,142080,4064
70.591452,1784055108.873769,1,142090,4064
71.323478,1784055109.605795,1,142100,4064
71.957100,1784055110.239416,1,142110,4064
72.656965,1784055110.939282,1,142120,4064
73.422671,1784055111.704988,1,142130,4064
132.325455,1784055170.607772,1,142140,4064
133.025553,1784055171.307869,1,142150,4064
133.742513,1784055172.024830,1,142160,4064
134.525390,1784055172.807707,1,142170,4064
135.168760,1784055173.451077,1,142180,4064
135.842638,1784055174.124955,1,142190,4064
136.668046,1784055174.950363,1,142200,4064
137.425427,1784055175.707744,1,142210,4064
138.168048,1784055176.450365,1,142220,4064
138.841726,1784055177.124043,1,142230,4064
139.468688,1784055177.751004,1,142240,4064
140.168005,1784055178.450322,1,142250,4064
140.925375,1784055179.207691,1,142260,4064
141.741692,1784055180.024009,1,142270,4064
142.367868,1784055180.650185,1,142280,4064
143.042092,1784055181.324409,1,142290,4064
143.824966,1784055182.107283,1,142300,4064
144.567995,1784055182.850312,1,142310,4064
145.341707,1784055183.624023,1,142320,4064
146.024375,1784055184.306692,1,142330,4064
202.966667,1784055241.248984,1,142340,4064
203.641627,1784055241.923944,1,142350,4064
204.342038,1784055242.624355,1,142360,4064
205.167342,1784055243.449659,1,142370,4064
205.866890,1784055244.149207,1,142380,4064
206.495350,1784055244.777666,1,142390,4064
207.295288,1784055245.577605,1,142400,4064
207.967419,1784055246.249735,1,142410,4064
208.695676,1784055246.977992,1,142420,4064
209.366979,1784055247.649296,1,142430,4064
210.066536,1784055248.348852,1,142440,4064
210.741325,1784055249.023642,1,142450,4064
211.466684,1784055249.749000,1,142460,4064
212.269638,1784055250.551955,1,142470,4064
213.040818,1784055251.323134,1,142480,4064
213.695375,1784055251.977691,1,142490,4064
214.366300,1784055252.648617,1,142500,4064
215.094510,1784055253.376827,1,142510,4064
215.840329,1784055254.122646,1,142520,4064
216.540603,1784055254.822919,1,142530,4064
217.340417,1784055255.622734,1,142540,4064
276.062093,1784055314.344410,1,142550,4064
276.744922,1784055315.027239,1,142560,4064
277.445574,1784055315.727890,1,142570,4064
278.245249,1784055316.527566,1,142580,4064
278.961995,1784055317.244312,1,142590,4064
279.761754,1784055318.044071,1,142600,4064
280.388228,1784055318.670545,1,142610,4064
281.061599,1784055319.343915,1,142620,4064
281.762073,1784055320.044390,1,142630,4064
282.461725,1784055320.744041,1,142640,4064
283.161037,1784055321.443353,1,142650,4064
283.861299,1784055322.143616,1,142660,4064
284.544509,1784055322.826826,1,142670,4064
285.188049,1784055323.470365,1,142680,4064
285.861214,1784055324.143531,1,142690,4064
286.544538,1784055324.826855,1,142700,4064
287.187980,1784055325.470297,1,142710,4064
287.861652,1784055326.143969,1,142720,4064
288.561511,1784055326.843827,1,142730,4064
289.260713,1784055327.543030,1,142740,4064
290.060855,1784055328.343172,1,142750,4064
348.661492,1784055386.943809,1,142760,4064
349.294928,1784055387.577245,1,142770,4064
349.995035,1784055388.277352,1,142780,4064
350.738157,1784055389.020474,1,142790,4064
351.494695,1784055389.777012,1,142800,4064
352.160580,1784055390.442896,1,142810,4064
352.795048,1784055391.077364,1,142820,4064
353.537732,1784055391.820049,1,142830,4064
354.294716,1784055392.577033,1,142840,4064
355.060179,1784055393.342495,1,142850,4064
355.737431,1784055394.019747,1,142860,4064
356.360075,1784055394.642392,1,142870,4064
357.093727,1784055395.376044,1,142880,4064
357.993751,1784055396.276067,1,142890,4064
358.737485,1784055397.019801,1,142900,4064
359.460164,1784055397.742480,1,142910,4064
360.137075,1784055398.419391,1,142920,4064
360.893640,1784055399.175956,1,142930,4064
361.637196,1784055399.919512,1,142940,4064
362.393651,1784055400.675968,1,142950,4064
363.259568,1784055401.541884,1,142960,4064
363.993069,1784055402.275386,1,142970,4064
364.659628,1784055402.941945,1,142980,4064
365.359431,1784055403.641748,1,142990,4064
366.059591,1784055404.341907,1,143000,4064
366.859979,1784055405.142296,1,143010,4064
367.737147,1784055406.019464,1,143020,4064
368.393464,1784055406.675781,1,143030,4064
369.036685,1784055407.319002,1,143040,4064
369.792850,1784055408.075167,1,143050,4064
370.536251,1784055408.818568,1,143060,4064
371.193112,1784055409.475429,1,143070,4064
371.836851,1784055410.119168,1,143080,4064
372.493226,1784055410.775543,1,143090,4064
373.293056,1784055411.575373,1,143100,4064
374.036870,1784055412.319186,1,143110,4064
374.793164,1784055413.075481,1,143120,4064
375.458695,1784055413.741012,1,143130,4064
376.159292,1784055414.441609,1,143140,4064
376.892825,1784055415.175142,1,143150,4064
377.692767,1784055415.975084,1,143160,4064
378.492659,1784055416.774976,1,143170,4064
379.192495,1784055417.474812,1,143180,4064
379.858654,1784055418.140971,1,143190,4064
380.535612,1784055418.817929,1,143200,4064
381.258866,1784055419.541182,1,143210,4064
381.992385,1784055420.274702,1,143220,4064
382.736387,1784055421.018703,1,143230,4064
383.436049,1784055421.718366,1,143240,4064
384.158562,1784055422.440878,1,143250,4064
384.935441,1784055423.217758,1,143260,4064
385.658183,1784055423.940500,1,143270,4064
386.358269,1784055424.640586,1,143280,4064
469.006381,1784055507.288697,1,143290,4064
469.670922,1784055507.953239,1,143300,4064
470.348068,1784055508.630385,1,143310,4064
471.047966,1784055509.330283,1,143320,4064
471.805413,1784055510.087729,1,143330,4064
472.471699,1784055510.754016,1,143340,4064
473.205137,1784055511.487454,1,143350,4064
473.948447,1784055512.230764,1,143360,4064
474.648607,1784055512.930924,1,143370,4064
475.304711,1784055513.587028,1,143380,4064
475.971194,1784055514.253510,1,143390,4064
476.670918,1784055514.953234,1,143400,4064
477.371478,1784055515.653795,1,143410,4064
478.205120,1784055516.487437,1,143420,4064
478.904985,1784055517.187301,1,143430,4064
479.547881,1784055517.830198,1,143440,4064
480.170723,1784055518.453040,1,143450,4064
480.871032,1784055519.153349,1,143460,4064
481.547630,1784055519.829946,1,143470,4064
482.204925,1784055520.487242,1,143480,4064
483.004556,1784055521.286873,1,143490,4064
542.091971,1784055580.374288,1,143500,4064
542.867534,1784055581.149850,1,143510,4064
543.617295,1784055581.899612,1,143520,4064
544.291481,1784055582.573797,1,143530,4064
545.116945,1784055583.399262,1,143540,4064
546.166374,1784055584.448691,1,143550,4064
546.790659,1784055585.072976,1,143560,4064
547.417526,1784055585.699843,1,143570,4064
548.118657,1784055586.400974,1,143580,4064
549.266383,1784055587.548699,1,143590,4064
555.264185,1784055593.546502,1,143600,4064
556.134820,1784055594.417137,1,143610,4064
612.597486,1784055650.879803,1,143620,4064
613.370752,1784055651.653069,1,143630,4064
614.153362,1784055652.435679,1,143640,4064
614.870212,1784055653.152528,1,143650,4064
615.597667,1784055653.879983,1,143660,4064
616.553583,1784055654.835900,1,143670,4064
617.253699,1784055655.536015,1,143680,4064
617.896949,1784055656.179265,1,143690,4064
618.653510,1784055656.935827,1,143700,4064
619.370782,1784055657.653099,1,143710,4064
620.070179,1784055658.352496,1,143720,4064
620.696956,1784055658.979273,1,143730,4064
621.553289,1784055659.835606,1,143740,4064
622.252797,1784055660.535114,1,143750,4064
622.953010,1784055661.235326,1,143760,4064
623.597056,1784055661.879372,1,143770,4064
624.252537,1784055662.534853,1,143780,4064
624.869392,1784055663.151709,1,143790,4064
625.652646,1784055663.934962,1,143800,4064
626.369231,1784055664.651547,1,143810,4064
684.633018,1784055722.915335,1,143820,4064
685.405712,1784055723.688028,1,143830,4064
686.132238,1784055724.414555,1,143840,4064
686.881952,1784055725.164269,1,143850,4064
687.531816,1784055725.814133,1,143860,4064
688.331573,1784055726.613890,1,143870,4064
689.105006,1784055727.387322,1,143880,4064
689.805331,1784055728.087648,1,143890,4064
690.581688,1784055728.864005,1,143900,4064
691.232249,1784055729.514566,1,143910,4064
691.905185,1784055730.187501,1,143920,4064
692.632615,1784055730.914931,1,143930,4064
693.381741,1784055731.664057,1,143940,4064
694.105339,1784055732.387656,1,143950,4064
694.782014,1784055733.064331,1,143960,4064
695.482460,1784055733.764776,1,143970,4064
696.131365,1784055734.413681,1,143980,4064
696.881402,1784055735.163719,1,143990,4064
697.582626,1784055735.864943,1,144000,4064
698.281685,1784055736.564002,1,144010,4064
754.962195,1784055793.244512,1,144020,4064
755.704286,1784055793.986603,1,144030,4064
756.404618,1784055794.686934,1,144040,4064
757.061731,1784055795.344048,1,144050,4064
757.704613,1784055795.986929,1,144060,4064
758.362309,1784055796.644625,1,144070,4064
759.227781,1784055797.510098,1,144080,4064
760.061574,1784055798.343891,1,144090,4064
760.804481,1784055799.086798,1,144100,4064
761.461537,1784055799.743854,1,144110,4064
762.204684,1784055800.487001,1,144120,4064
762.827856,1784055801.110172,1,144130,4064
763.627682,1784055801.909998,1,144140,4064
764.504247,1784055802.786563,1,144150,4064
765.227666,1784055803.509983,1,144160,4064
765.927552,1784055804.209869,1,144170,4064
766.603824,1784055804.886140,1,144180,4064
767.303956,1784055805.586273,1,144190,4064
768.003394,1784055806.285711,1,144200,4064
768.627231,1784055806.909548,1,144210,4064
769.403909,1784055807.686225,1,144220,4064
770.027262,1784055808.309578,1,144230,4064
770.827156,1784055809.109473,1,144240,4064
771.560921,1784055809.843238,1,144250,4064
772.261211,1784055810.543528,1,144260,4064
772.926906,1784055811.209222,1,144270,4064
773.627627,1784055811.909943,1,144280,4064
774.461011,1784055812.743328,1,144290,4064
775.203126,1784055813.485442,1,144300,4064
775.860926,1784055814.143243,1,144310,4064
776.603189,1784055814.885505,1,144320,4064
777.303042,1784055815.585359,1,144330,4064
778.003103,1784055816.285420,1,144340,4064
778.760508,1784055817.042825,1,144350,4064
779.526539,1784055817.808856,1,144360,4064
780.202418,1784055818.484735,1,144370,4064
780.859736,1784055819.142053,1,144380,4064
781.660077,1784055819.942394,1,144390,4064
782.426266,1784055820.708583,1,144400,4064
783.125931,1784055821.408248,1,144410,4064
783.759754,1784055822.042071,1,144420,4064
784.526207,1784055822.808523,1,144430,4064
785.325583,1784055823.607900,1,144440,4064
785.960113,1784055824.242429,1,144450,4064
786.625497,1784055824.907814,1,144460,4064
787.302459,1784055825.584776,1,144470,4064
788.002042,1784055826.284359,1,144480,4064
788.759168,1784055827.041485,1,144490,4064
789.525257,1784055827.807574,1,144500,4064
790.159317,1784055828.441633,1,144510,4064
790.825604,1784055829.107920,1,144520,4064
791.558589,1784055829.840906,1,144530,4064
792.224887,1784055830.507204,1,144540,4064
