Copied figure,Caption,Source,Status
fig01_anchor_layout.png,"Anchor layouts: V4, V5, and Vicon.",FULL_V5_overnight_batch2/figures/fig01_anchor_layout.png,copied
fig02_static_accuracy_trajectory.png,Static accuracy trajectory.,FULL_V5_overnight_batch2/figures/fig02_static_accuracy_trajectory.png,copied
fig03_cancellation_valley.png,Cancellation valley.,FULL_V5_overnight_batch2/figures/fig03_cancellation_valley.png,copied
fig04_nlos_fingerprint.png,Per-anchor NLOS fingerprint.,FULL_V5_overnight_batch2/figures/fig05_nlos_fingerprint.png,copied
fig05_transfer_matrix_heatmap.png,Transfer matrix heatmap.,FULL_V5_overnight_batch2/figures/fig09_transfer_matrix_heatmap.png,copied
fig06_nested_cv_comparison.png,Nested-CV degradation.,FULL_V5_batch3_falsification/figures/f1_nested_cv_comparison.png,copied
fig07_profile_alpha_dtag.png,Profile likelihood alpha vs D_tag.,FULL_V5_batch3_falsification/figures/f3_contour_alpha_dtag.png,copied
fig08_roto_alignment_comparison.png,ROTO alignment comparison.,FULL_V5_roto_deepdive/figures/r2_alignment_comparison_bar.png,copied
fig09_roto_gap_waterfall.png,ROTO gap decomposition.,FULL_V5_roto_deepdive/figures/r4_gap_waterfall.png,copied
fig10_anchor_count_identifiability.png,Accuracy versus anchor count.,FULL_V5_mechanistic_deepdive/figures/m5_accuracy_vs_anchors.png,copied
fig11_cancellation_mechanism.png,Signed radial mechanism diagnostic.,FULL_V5_paper_strengthening/figures/fig11_cancellation_mechanism.png,copied
fig12_phase_center_mc_probabilities.png,Phase-center manufacturing variation probabilities.,FULL_V5_phase_center_sensitivity/figures/a2_ranking_probability_vs_sigma.png,copied
fig13_phase_center_valley.png,Phase-center shift on cancellation valley.,FULL_V5_phase_center_sensitivity/figures/a5_operating_point_on_valley.png,copied
fig14_rawframe_estimator_ranking.png,Raw-frame estimator ranking.,FULL_V5_rawframe_bruteforce_v3/figures/s2_estimator_ranking.png,copied
fig15_rawframe_accuracy_ladder.png,Raw-frame accuracy ladder.,FULL_V5_rawframe_bruteforce_v3/figures/s6_accuracy_ladder.png,copied
fig16_rawframe_oracle_gap.png,Raw-frame oracle versus honest gap.,FULL_V5_rawframe_bruteforce_v3/figures/s6_oracle_vs_honest_gap.png,copied
fig17_inter_anchor_histograms.png,Inter-anchor raw range histograms.,FULL_V5_anchor_lower_trim/figures/l1_inter_anchor_histograms.png,copied
fig18_anchor_lower_trim_accuracy.png,Tag accuracy by anchor aggregation method.,FULL_V5_anchor_lower_trim/figures/l3_accuracy_by_anchor_method.png,copied
fig19_anchor_ezero_bootstrap.png,Bootstrap improvement distribution for e_i=0.,FULL_V5_anchor_lower_trim/figures/l5_improvement_distribution.png,copied
