metric,source_1,value_1,source_2,value_2,discrepancy,status
V5+C_V5+D_LOO median_3d,FULL_V5/static_summary_DLOO,67.84873089032392,FULL_transfer_matrix,67.84873089032392,0.0,OK
V5+C_V5+D_LOO median_3d,FULL_transfer_matrix,67.84873089032392,followup/f6 V5 baseline,67.80925857328509,0.03947231703882892,OK
V4+C_V4+D_LOO median_3d,FULL_transfer_matrix,57.92095709409735,mechanism summary expected,57.920957,9.409735213239401e-08,OK
D_tag LOO,FULL_4way,49.621032516254864,FULL_V5/static_summary_DLOO,49.621,3.2516254862002825e-05,OK
Shapley D,GPU_tier1,1242.8861577806022,GPU_discovery,1242.8861577806022,0.0,OK
Shapley F,GPU_tier1,1229.4412957418533,GPU_discovery,1229.4412957418533,0.0,OK
NLOS PR-AUC best,GPU_tier1,0.952487721976376,GPU_discovery,0.9485277033169752,0.003960018659400766,OK
