metric,value,unit,source
v1_oracle_median,44.59582912114855,mm,FULL_V5_rawframe_bruteforce/tables/b6_master_comparison.csv
v2_raw_rows,230544.0,rows,FULL_V5_rawframe_bruteforce_v2/tables/raw_data_inventory.csv
v2_valid_rows,228265.0,rows,FULL_V5_rawframe_bruteforce_v2/tables/raw_data_inventory.csv
v3_full_grid_configs,107448.0,rows,FULL_V5_rawframe_bruteforce_v3/tables/s2_full_grid.csv
v3_best_honest_loo_median,44.48515490554082,mm,FULL_V5_rawframe_bruteforce_v3/tables/s3_honest_ranking.csv
v3_oracle_lower_bound,44.59582912114855,mm,FULL_V5_rawframe_bruteforce_v3/tables/s6_master_ladder.csv
v3_bootstrap_ci_low,33.36159370392132,mm,FULL_V5_rawframe_bruteforce_v3/tables/s5_bootstrap_summary.csv
v3_bootstrap_ci_high,82.84313111765906,mm,FULL_V5_rawframe_bruteforce_v3/tables/s5_bootstrap_summary.csv
