metric,source_1,value_1,source_2,value_2,discrepancy,status
Raw-frame oracle median,rawframe v1 b6,44.59582912114855,rawframe v3 s6 ladder,44.59582912114855,0.0,OK
lower_trim_20 V5 Huber30 LOO,rawframe v3 s3 honest,44.48515490554082,anchor lower trim p50 control,44.48515490444803,1.0927863058896037e-09,OK
Raw static row count,raw_data_inventory,230544.0,expected 24*8*1200,230400.0,144.0,OK
p50 e_i=0 best,anchor lower trim l3,43.17167990138442,completion report rounded,43.172,0.0003200986155746932,OK
