file,rows
tables/anchor_lower_trim_key_results.csv,10
tables/claim_evidence_matrix.csv,25
tables/claim_evidence_matrix_v2.csv,30
tables/consistency_audit.csv,7
tables/consistency_audit_v2.csv,4
tables/extended_items_key_findings.csv,24
tables/figure_manifest.csv,13
tables/figure_manifest_v2.csv,19
tables/headline_locked.csv,14
tables/locked_headline_v2.csv,18
tables/master_number_registry.csv,79
tables/master_number_registry_v2.csv,100
tables/negative_results_summary.csv,9
tables/output_row_counts_v2.csv,39
tables/phase_center_robustness_summary.csv,6
tables/rawframe_v3_key_results.csv,8
tables/report_source_inventory.csv,19
tables/report_source_inventory_v2.csv,23
report/EXPERIMENTAL_REPORT.md,898
report/EXPERIMENTAL_REPORT_V2.md,1434
figures/fig01_anchor_layout.png,-1
figures/fig02_static_accuracy_trajectory.png,-1
figures/fig03_cancellation_valley.png,-1
figures/fig04_nlos_fingerprint.png,-1
figures/fig05_transfer_matrix_heatmap.png,-1
figures/fig06_nested_cv_comparison.png,-1
figures/fig07_profile_alpha_dtag.png,-1
figures/fig08_roto_alignment_comparison.png,-1
figures/fig09_roto_gap_waterfall.png,-1
figures/fig10_anchor_count_identifiability.png,-1
figures/fig11_cancellation_mechanism.png,-1
figures/fig12_phase_center_mc_probabilities.png,-1
figures/fig13_phase_center_valley.png,-1
figures/fig14_rawframe_estimator_ranking.png,-1
figures/fig15_rawframe_accuracy_ladder.png,-1
figures/fig16_rawframe_oracle_gap.png,-1
figures/fig17_inter_anchor_histograms.png,-1
figures/fig18_anchor_lower_trim_accuracy.png,-1
figures/fig19_anchor_ezero_bootstrap.png,-1
