version,eval_set,rms,p50_abs,p75_abs,p95_abs,max_abs
v1-old,all1000,124.75454795814217,67.13177308357115,132.6562718154546,281.1852715126529,295.3236351598946
v1-old,solve,124.75454795814217,67.13177308357115,132.6562718154546,281.1852715126529,295.3236351598946
v2,all1000,101.93307384394491,87.83204068578948,114.35633279762311,189.25958867561752,247.90021225846613
v2,solve,101.93307384394491,87.83204068578948,114.35633279762311,189.25958867561752,247.90021225846613
v3-full,all1000,150.20801860746292,42.85127403184538,63.17340978703089,384.22440954790073,549.5149487261501
v3-full,solve,150.20801860746292,42.85127403184538,63.17340978703089,384.22440954790073,549.5149487261501
v3-lite,all1000,100.85558929202148,84.50515935002522,113.06446208141415,188.43223312693414,254.5468333485178
v3-lite,solve,100.85558929202148,84.50515935002522,113.06446208141415,188.43223312693414,254.5468333485178
v4-io,all1000,123.4411896688199,23.806701736090417,54.49295224441602,279.06307010800384,462.8240292585774
v4-io,solve,123.4411896688199,23.806701736090417,54.49295224441602,279.06307010800384,462.8240292585774
