version,capture_pairs,deltaR_error_mean_mm,deltaR_error_rms_mm,abs_deltaR_error_median_mm,abs_deltaR_error_p95_mm,inner_outer_center_sep_median_mm,inner_outer_center_sep_p95_mm,turn_center_rms_median_mm,turn_center_rms_p95_mm,circle_thickness_rms_median_mm_diagnostic,circle_thickness_rms_p95_mm_diagnostic
v1-old,2,6.356269199473417,6.511534005402038,6.356269199473417,7.628398415999581,57.65220460533567,59.63820099918802,14.92031105374554,17.4809334302091,94.37346196529518,97.6499155975965
v2,2,10.974692365290707,10.979274571251256,10.974692365290707,11.260146485080565,56.9870557981878,57.89535775412585,13.521556726360352,15.005255824582019,91.0993045704925,97.09497590736625
v3-full,2,16.174457361025844,16.174461587697653,16.174457361025844,16.18498113856557,101.1419187021765,102.03540214135657,20.254433674108398,20.893309223516763,127.17402880507592,138.63168064347545
v3-lite,2,10.042554299099237,10.047320164441015,10.042554299099237,10.321039425282672,55.85356423076169,56.90559671089432,13.313159885477035,14.939590303210188,91.19434573061302,96.59619252633027
v4-io,2,11.66136498269745,11.672917705318822,11.66136498269745,12.128650057705547,75.64762168776937,75.98664804450895,16.36238139190744,16.711157771369585,107.50457401975075,115.97886751947686
