version,ID,radius_BS2DCE,radius_BSDC91,delta_radius,delta_radius_bias_vs_120
v1-old,ID25,511.7779806602229,636.720772952445,124.94279229222212,4.942792292222123
v1-old,ID29,512.8611350388386,640.6308811455633,127.76974610672471,7.76974610672471
v2,ID25,460.73263152126174,591.3901526423415,130.65752112107975,10.657521121079753
v2,ID29,463.45093341549034,594.742797024992,131.29186360950166,11.291863609501661
v3-full,ID25,497.5559689471897,633.7421193943708,136.1861504471811,16.18615044718109
v3-full,ID29,500.7254465811061,636.8882108559767,136.1627642748706,16.162764274870597
v3-lite,ID25,465.8613753477235,595.5945017288411,129.73312638111764,9.733126381117643
v3-lite,ID29,468.728421948352,599.0804041654328,130.35198221708083,10.351982217080831
v4-io,ID25,490.30437441612736,622.4849450377227,132.18057062159534,12.180570621595336
v4-io,ID29,494.16898449789744,625.311143841697,131.14215934379956,11.142159343799563
