eval_set,pair,n_ab,n_ba,med_ab,med_ba,mad_ab,mad_ba,asymmetry,median_all,mad_all
solve,A-B,1000,1000,1746.0,1747.0,37.065,37.065,1.0,1746.0,37.065
solve,A-C,1000,1000,2999.0,3024.0,40.0302,28.1694,25.0,3014.0,37.065
solve,A-D,1000,1000,2529.0,2570.0,44.477999999999994,30.3933,41.0,2554.0,42.9954
solve,A-E,1000,1000,1761.0,1805.0,123.05579999999999,222.39,44.0,1779.0,151.9665
solve,A-F,1000,1000,2407.0,2985.5,90.4386,36.323699999999995,578.5,2910.5,217.2009
solve,A-G,1000,1000,3223.0,3201.0,38.547599999999996,25.2042,22.0,3209.0,34.099799999999995
solve,A-H,1000,1000,2788.0,2794.0,31.875899999999998,32.6172,6.0,2790.0,31.1346
solve,B-C,1000,1000,2402.0,2420.0,34.099799999999995,32.6172,18.0,2412.0,34.099799999999995
solve,B-D,1000,1000,3109.0,3121.0,22.238999999999997,23.7216,12.0,3115.0,23.7216
solve,B-E,1000,1000,2366.0,2415.0,40.0302,32.6172,49.0,2396.0,45.9606
solve,B-F,1000,1000,1651.0,1664.0,27.428099999999997,22.238999999999997,13.0,1658.0,25.2042
solve,B-G,1000,1000,2755.0,2769.0,22.238999999999997,32.6172,14.0,2760.0,28.1694
solve,B-H,1000,1000,3315.0,3320.0,54.856199999999994,50.4084,5.0,3317.0,51.891
solve,C-D,1000,1000,1612.0,1610.0,34.099799999999995,38.547599999999996,2.0,1611.0,35.5824
solve,C-E,1000,1000,3238.0,3236.0,22.238999999999997,26.686799999999998,2.0,3237.0,25.2042
solve,C-F,1000,1000,2858.0,2841.0,17.7912,20.7564,17.0,2850.0,20.7564
solve,C-G,1000,1000,1655.0,1657.0,20.7564,22.238999999999997,2.0,1656.0,22.238999999999997
solve,C-H,1000,1000,2167.0,2185.5,37.065,31.875899999999998,18.5,2177.0,35.5824
solve,D-E,1000,1000,2998.0,2985.0,26.686799999999998,34.099799999999995,13.0,2992.0,31.1346
solve,D-F,1000,1000,3172.0,3179.5,65.2344,106.74719999999999,7.5,3175.0,80.0604
solve,D-G,1000,1000,2213.0,2211.0,22.238999999999997,28.1694,2.0,2212.0,25.2042
solve,D-H,1000,1000,1690.0,1700.0,23.7216,22.238999999999997,10.0,1695.0,23.7216
solve,E-F,1000,1000,1587.0,1572.0,17.7912,19.273799999999998,15.0,1579.0,20.7564
solve,E-G,1000,1000,2873.0,2877.0,23.7216,25.2042,4.0,2875.0,25.2042
solve,E-H,1000,1000,2317.0,2302.0,35.5824,25.2042,15.0,2309.0,29.651999999999997
solve,F-G,1000,1000,2379.5,2380.0,24.462899999999998,25.2042,0.5,2380.0,23.7216
solve,F-H,1000,1000,3034.0,3043.0,31.1346,35.5824,9.0,3038.0,32.6172
solve,G-H,1000,999,1535.0,1543.0,32.6172,31.1346,8.0,1539.0,31.1346
