version,label,meaning,tag_delay_mm,autopos_rms,autopos_p95,static_n,static_median,static_p95,static_max,roto_n,roto_deltaR_mean,roto_deltaR_rms,roto_abs_deltaR_median,roto_abs_deltaR_p95,roto_turn_center_median,roto_turn_center_p95
v1-old,V1,"simple bidirectional mean, no delay",0.0,124.75454795814217,281.1852715126529,0,,,,2,6.356269199473417,6.511534005402038,6.356269199473417,7.628398415999581,14.92031105374554,17.4809334302091
v2,V2,"weighted/IVW pair fusion, no delay",0.0,101.93307384394491,189.25958867561752,0,,,,2,10.974692365290707,10.979274571251256,10.974692365290707,11.260146485080565,13.521556726360352,15.005255824582019
v3-lite,V3-lite,"MAD/MVUE robust pair fusion, no delay",0.0,100.85558929202148,188.43223312693414,0,,,,2,10.042554299099237,10.047320164441015,10.042554299099237,10.321039425282672,13.313159885477035,14.939590303210188
v3-full,V3-full,robust pair fusion plus per-anchor delay,0.0,150.20801860746292,384.22440954790073,0,,,,2,16.174457361025844,16.174461587697653,16.174457361025844,16.18498113856557,20.254433674108398,20.893309223516763
v4-io,V4-io,current production inter-anchor solver,0.0,123.4411896688199,279.06307010800384,0,,,,2,11.66136498269745,11.672917705318822,11.66136498269745,12.128650057705547,16.36238139190744,16.711157771369585
